"","Spanish","French","Chinese","German","Hindi and related","Filipino, Tagalog","Italian","Vietnamese","Russian","Korean","Polish","Arabic","Japanese","Portuguese","Dravidian","Sub-Saharan Africa","Greek","Other or not reported","Persian, Iranian, Farsi","Serbo-Croatian, Yugoslavian, Slavonian","Navajo","Hebrew, Israeli","Thai, Siamese, Lao","Yiddish, Jewish","Armenian","Dutch","Rumanian","Ukrainian, Ruthenian, Little Russian","Other East/Southeast Asian","Czech","Tibetan","Magyar, Hungarian","Amharic, Ethiopian, etc","Albanian","Swedish","Other Malayan","Turkish","Norwegian","Indonesian","Micronesian, Polynesian","Hamitic","Slovak","Finnish","Lithuanian","Near East Arabic dialect","Other Balto-Slavic","Celtic","Danish","Hawaiian","Siouan languages","Aleut, Eskimo","Algonquian","Iroquoian","African, n.s","Athapascan","Burmese, Lisu, Lolo","Keres","Muskogean","Other Persian dialects","Icelandic","English","N/A or blank"
"Maryland",133832.16,25361.28,22705.2,14080.08,25789.68,12423.6,9039.24,6283.2,9681.84,17307.36,3013.08,5169.36,5383.56,9110.64,6797.28,14865.48,3655.68,2156.28,8425.2,357,0,4426.8,614.04,2027.76,228.48,3455.76,785.4,2170.56,728.28,257.04,0,257.04,6254.64,85.68,885.36,956.76,728.28,728.28,114.24,0,0,185.64,0,785.4,0,0,871.08,0,185.64,0,0,0,0,0,0,271.32,0,0,0,0,0,0
"Massachusetts",178171.56,77640.3600000001,32901.12,11695.32,22005.48,2727.48,33201,14836.92,22162.56,6097.56,16564.8,12323.64,10367.28,65902.2,10281.6,2941.68,13437.48,1199.52,4212.6,2327.64,0,6268.92,1513.68,2156.28,4055.52,1042.44,956.76,257.04,9124.92,328.44,0,1042.44,1270.92,5212.2,1670.76,685.44,1213.8,771.12,2299.08,271.32,6311.76,428.4,699.72,999.6,242.76,1870.68,3455.76,842.52,114.24,0,0,0,299.88,871.08,0,271.32,0,0,0,0,0,0
"Michigan",143999.52,26303.76,18449.76,37499.28,19120.92,7239.96,16136.4,3984.12,10681.44,5697.72,30087.96,41169.24,11038.44,1670.76,8439.48,3041.64,6668.76,2199.12,414.12,3798.48,0,3155.88,5055.12,899.64,3213,3755.64,9124.92,1685.04,2241.96,114.24,371.28,2042.04,0,8211,1884.96,314.16,585.48,485.52,1613.64,371.28,2113.44,1670.76,5512.08,528.36,13494.6,628.32,0,628.32,242.76,942.48,0,228.48,1056.72,271.32,0,0,0,0,0,0,0,0
"Minnesota",66359.16,9981.72,7611.24,22762.32,7239.96,899.64,4483.92,12580.68,5340.72,2527.56,2199.12,2570.4,2070.6,1213.8,756.84,7739.76,899.64,3498.6,899.64,5083.68,0,1542.24,899.64,0,0,314.16,0,442.68,2027.76,3127.32,15865.08,0,3598.56,0,2470.44,342.72,0,6340.32,0,0,11238.36,1599.36,5554.92,0,0,0,128.52,328.44,628.32,0,0,1827.84,0,328.44,0,0,0,0,314.16,0,0,0
"Mississippi",26560.8,10652.88,371.28,4226.88,1228.08,1099.56,1142.4,4212.6,671.16,199.92,0,799.68,671.16,0,0,0,0,0,528.36,0,0,485.52,428.4,0,0,571.2,714,0,0,0,0,0,0,0,0,0,342.72,0,0,185.64,0,0,0,0,0,0,0,0,0,0,0,357,0,0,0,0,0,4498.2,0,0,0,0
"Missouri",70086.24,12366.48,6740.16,21605.64,4526.76,1827.84,5412.12,4198.32,3341.52,2584.68,542.64,3127.32,1042.44,199.92,1413.72,2427.6,485.52,1470.84,1699.32,1199.52,0,1156.68,1685.04,314.16,0,1356.6,0,99.96,0,0,0,628.32,0,1485.12,0,0,528.36,428.4,0,0,0,0,0,314.16,0,885.36,0,0,0,0,0,0,271.32,0,0,1413.72,0,0,0,0,0,0
"Montana",6069,2513.28,542.64,6997.2,0,128.52,399.84,128.52,385.56,371.28,0,199.92,1570.8,0,0,0,0,1442.28,0,399.84,0,0,0,0,0,0,0,0,0,385.56,0,0,0,0,0,171.36,0,942.48,0,0,0,0,142.8,0,0,0,0,0,0,1613.64,0,3027.36,0,0,0,0,0,0,0,0,0,0
"Nebraska",31230.36,5440.68,2013.48,6697.32,3755.64,685.44,1499.4,7882.56,0,456.96,328.44,599.76,1242.36,885.36,0,0,271.32,1113.84,314.16,0,0,0,656.88,414.12,0,128.52,0,0,0,3284.4,0,0,128.52,0,456.96,0,0,0,0,114.24,0,0,0,0,0,299.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nevada",154124.04,5326.44,3570,5597.76,1785,19278,3798.48,2113.44,2227.68,2456.16,971.04,1228.08,5654.88,271.32,813.96,0,171.36,2170.56,0,913.92,99.96,728.28,2898.84,728.28,271.32,885.36,0,299.88,0,414.12,0,614.04,1513.68,0,0,0,0,0,285.6,0,0,285.6,0,0,0,0,28.56,0,0,71.4,0,0,0,0,0,0,0,0,0,0,0,0
"New Hampshire",13123.32,39998.28,528.36,2199.12,1499.4,399.84,842.52,157.08,1228.08,0,956.76,0,342.72,428.4,785.4,0,1370.88,499.8,0,0,0,0,342.72,0,542.64,742.56,0,299.88,0,0,0,0,0,1142.4,157.08,0,0,0,0,0,0,257.04,399.84,542.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"New Jersey",475209.839999999,44239.44,39369.96,18992.4,86636.7599999999,30459.24,65016.84,6483.12,17278.8,26660.76,56049,25204.2,9539.04,36242.64,12452.16,4783.8,11581.08,5440.68,0,4269.72,0,8268.12,3484.32,6768.72,3241.56,2841.72,1927.8,3598.56,257.04,971.04,0,6568.8,1156.68,1770.72,742.56,2798.88,5626.32,542.64,1727.88,314.16,0,1770.72,0,1599.36,0,1785,342.72,271.32,0,0,342.72,0,0,0,0,0,0,0,0,0,0,0
"New Mexico",324227.4,3598.56,1627.92,3641.4,999.6,1927.8,1299.48,0,357,571.2,0,171.36,342.72,599.76,0,399.84,471.24,9539.04,428.4,85.68,45910.2,128.52,385.56,0,0,0,485.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.68,0,0,257.04,0,0,0,0,385.56,0,7711.20000000001,0,0,0,0,0
"New York",1077411.72,149754.36,173744.76,50679.72,118238.4,41897.52,152453.28,10295.88,128248.68,44610.72,79211.16,50165.64,22176.84,16464.84,24804.36,29988,38356.08,11424,8767.92,17136,299.88,39612.72,4098.36,55849.08,6211.8,6340.32,9896.04,15279.6,1399.44,1842.12,0,6797.28,1099.56,14394.24,3684.24,2641.8,6597.36,2241.96,7896.84,885.36,414.12,1913.52,0,1356.6,271.32,3298.68,4198.32,2284.8,0,71.4,0,985.32,342.72,2984.52,257.04,1042.44,0,0,0,0,0,0
"North Carolina",228579.96,25261.32,12437.88,17235.96,10538.64,2898.84,2227.68,2570.4,4712.4,7082.88,3484.32,4226.88,3512.88,2641.8,3984.12,2484.72,2527.56,4641,899.64,885.36,585.48,771.12,4498.2,671.16,357,1956.36,271.32,442.68,1156.68,0,2941.68,1213.8,271.32,1656.48,1499.4,456.96,142.8,0,171.36,342.72,499.8,1128.12,1028.16,0,0,0,485.52,714,0,0,0,271.32,0,314.16,199.92,0,0,0,0,0,0,0
