"","Spanish","Hindi and related","Chinese","French","Filipino, Tagalog","German","Dravidian","Arabic","Sub-Saharan Africa","Vietnamese","Portuguese","Korean","Russian","Italian","Japanese","Polish","Persian, Iranian, Farsi","Greek","Tibetan","Navajo","Amharic, Ethiopian, etc","Hebrew, Israeli","Thai, Siamese, Lao","Yiddish, Jewish","Dutch","Armenian","Rumanian","Other East/Southeast Asian","Ukrainian, Ruthenian, Little Russian","Indonesian","Turkish","Burmese, Lisu, Lolo","Serbo-Croatian, Yugoslavian, Slavonian","Micronesian, Polynesian","Albanian","Hamitic","Other Balto-Slavic","Native","Swedish","Other Persian dialects","Magyar, Hungarian","Czech","Lithuanian","Aleut, Eskimo","Near East Arabic dialect","Other or not reported","Aztecan, Nahuatl, Uto-Aztecan","Siouan languages","Other Malayan","Finnish","Hawaiian","Norwegian","Other Afro-Asiatic languages","Athapascan","Slovak","Danish","Muskogean","Keres","Other Altaic","Celtic","Iroquoian","Algonquian","Zuni","English","N/A or blank"
"Oregon",144805.05,7492.5,8724.6,10089.9,16650,4079.25,3696.3,9873.45,1731.6,7675.65,1465.2,2897.1,6143.85,2780.55,5960.7,566.1,1465.2,216.45,1581.75,166.5,1182.15,599.4,4045.95,0,1515.15,283.05,849.15,0,1381.95,0,532.8,0,216.45,4645.35,0,83.25,382.95,749.25,449.55,133.2,0,0,0,0,0,616.05,33.3,982.35,0,366.3,0,249.75,0,0,0,0,0,0,0,133.2,99.9,0,0,0,0
"Pennsylvania",284898.15,36030.6,42274.35,33466.5,5461.2,79686.9,21312,13536.45,17316,8724.6,8841.15,10306.35,14885.1,18947.7,1615.05,7142.85,2730.6,6776.55,149.85,0,299.7,1481.85,349.65,1282.05,6260.4,1215.45,865.8,4095.9,2614.05,4678.65,999,2397.6,1198.8,682.65,4528.8,0,732.6,0,1165.5,0,1332,532.8,1598.4,0,0,4928.4,0,199.8,749.25,0,283.05,599.4,582.75,0,965.7,466.2,0,0,0,0,0,0,0,0,0
"Rhode Island",52447.5,1881.45,4795.2,6293.7,449.55,1615.05,1265.4,366.3,1731.6,333,18714.6,0,0,1831.5,16.65,266.4,299.7,1481.85,0,0,0,0,0,0,0,266.4,0,915.75,599.4,283.05,0,516.15,199.8,0,0,0,0,83.25,0,0,0,0,0,0,0,216.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"South Carolina",100649.25,6876.45,6826.5,8724.6,2963.7,9806.85,1465.2,2630.7,1415.25,599.4,7925.4,2331,2847.15,1332,16.65,432.9,915.75,1981.35,0,0,1365.3,0,799.2,0,116.55,0,4795.2,782.55,0,0,66.6,233.1,0,316.35,3812.85,0,0,0,0,0,266.4,0,0,0,0,99.9,0,0,149.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"South Dakota",5777.55,83.25,0,516.15,4711.95,3330,0,0,0,0,432.9,0,233.1,316.35,0,0,0,449.55,0,0,166.5,0,2830.5,0,599.4,0,0,0,0,0,0,4079.25,0,0,0,0,0,0,0,0,0,116.55,0,0,0,0,0,9207.45,0,0,0,233.1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tennessee",118831.05,9523.8,9540.45,8791.2,865.8,8841.15,8907.75,3696.3,6993,2331,1115.55,5577.75,4162.5,2647.35,1048.95,2780.55,3413.25,932.4,0,0,1065.6,416.25,1665,1048.95,715.95,0,882.45,0,0,865.8,815.85,216.45,0,599.4,0,0,582.75,482.85,166.5,299.7,1032.3,1881.45,0,0,0,0,0,0,0,0,0,0,649.35,0,0,432.9,0,0,0,233.1,0,0,0,0,0
"Texas",3699163.79999999,138960.9,80519.4,52863.75,44921.7,25424.55,81035.55,50283,77056.2,57176.1,13952.7,21428.55,13503.15,6460.2,3463.2,1282.05,19863.45,1515.15,1015.65,2181.15,16766.55,2830.5,9940.05,0,7825.5,0,2347.65,5094.9,2597.4,4095.9,7392.6,5527.8,982.35,249.75,1498.5,482.85,432.9,632.7,3030.3,3546.45,316.35,3280.05,765.9,0,0,283.05,0,0,2331,532.8,0,382.95,99.9,0,0,0,715.95,0,0,0,199.8,416.25,0,0,0
"Utah",148201.65,7042.95,6443.55,2047.95,3846.15,6976.35,0,5577.75,0,1748.25,20263.05,4562.1,915.75,2347.65,3896.1,949.05,0,849.15,0,6010.65,0,0,1165.5,0,532.8,233.1,0,1348.65,133.2,482.85,0,0,932.4,4728.6,0,815.85,865.8,149.85,1931.4,0,0,0,0,0,0,0,1714.95,133.2,0,116.55,0,499.5,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vermont",1265.4,499.5,799.2,4012.65,715.95,116.55,616.05,0,0,0,0,0,0,849.15,0,0,0,466.2,0,0,0,432.9,0,0,566.1,0,0,0,0,0,166.5,0,1315.35,0,0,0,0,0,432.9,0,0,0,0,0,0,0,0,0,0,0,0,116.55,0,0,0,0,0,0,0,0,0,0,0,0,0
"Virginia",261188.55,49450.5,19064.25,25707.6,15567.75,14435.55,19963.35,31535.1,10273.05,10456.2,3096.9,18731.25,4312.35,4945.05,2930.4,832.5,11771.55,2963.7,466.2,616.05,12953.7,4129.2,2264.4,0,2081.25,0,1964.7,799.2,599.4,2364.3,5294.7,1531.8,1348.65,0,0,1998,2097.9,216.45,0,1665,183.15,449.55,233.1,0,0,316.35,0,0,349.65,0,0,0,1048.95,0,0,0,0,0,399.6,932.4,0,149.85,0,0,0
"Washington",238827.6,48884.4,46886.4,15950.7,19547.1,11488.5,20979,14968.35,25757.55,23809.5,3779.55,16000.65,18198.45,4578.75,11938.05,266.4,5494.5,2214.45,482.85,116.55,4828.5,4495.5,4095.9,99.9,2580.75,699.3,2830.5,5611.05,9856.8,5661,8841.15,0,1631.7,8608.05,0,6460.2,682.65,2164.5,949.05,3046.95,0,99.9,249.75,283.05,0,832.5,0,0,216.45,266.4,0,1481.85,116.55,0,0,965.7,0,0,233.1,0,0,0,0,0,0
"West Virginia",9107.55,4279.05,349.65,1898.1,199.8,1381.95,0,1132.2,49.95,516.15,0,149.85,399.6,249.75,965.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133.2,0,0,0,0,0,0,83.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Wisconsin",120229.65,12604.05,10389.6,3379.95,4578.75,24558.75,5844.15,2747.25,566.1,566.1,666,1531.8,2097.9,2514.15,2197.8,4245.75,2630.7,499.5,18814.5,0,0,1431.9,349.65,0,1481.85,0,0,1148.85,0,83.25,0,1348.65,1065.6,0,1332,1165.5,0,1315.35,382.95,0,0,83.25,632.7,0,0,599.4,0,149.85,0,1165.5,0,882.45,0,0,0,0,0,0,0,249.75,0,599.4,0,0,0
"Wyoming",13386.6,532.8,1365.3,1282.05,99.9,1248.75,0,83.25,0,0,183.15,0,0,0,399.6,0,0,0,0,1265.4,0,0,0,0,0,0,0,0,0,382.95,0,0,0,0,0,0,0,382.95,0,0,0,0,0,0,0,0,333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
