"","Spanish","Hindi and related","Chinese","French","Filipino, Tagalog","German","Dravidian","Arabic","Sub-Saharan Africa","Vietnamese","Portuguese","Korean","Russian","Italian","Japanese","Polish","Persian, Iranian, Farsi","Greek","Tibetan","Navajo","Amharic, Ethiopian, etc","Hebrew, Israeli","Thai, Siamese, Lao","Yiddish, Jewish","Dutch","Armenian","Rumanian","Other East/Southeast Asian","Ukrainian, Ruthenian, Little Russian","Indonesian","Turkish","Burmese, Lisu, Lolo","Serbo-Croatian, Yugoslavian, Slavonian","Micronesian, Polynesian","Albanian","Hamitic","Other Balto-Slavic","Native","Swedish","Other Persian dialects","Magyar, Hungarian","Czech","Lithuanian","Aleut, Eskimo","Near East Arabic dialect","Other or not reported","Aztecan, Nahuatl, Uto-Aztecan","Siouan languages","Other Malayan","Finnish","Hawaiian","Norwegian","Other Afro-Asiatic languages","Athapascan","Slovak","Danish","Muskogean","Keres","Other Altaic","Celtic","Iroquoian","Algonquian","Zuni","English","N/A or blank"
"Georgia",726772.500000001,107875.35,47102.85,65251.35,19613.7,19613.7,62604,14152.5,60572.7,53479.8,24741.9,37695.6,15867.45,3063.6,14868.45,2164.5,11621.7,1531.8,1548.45,216.45,7975.35,11272.05,5577.75,233.1,4162.5,0,13070.25,1531.8,616.05,616.05,5594.4,0,6959.7,699.3,183.15,299.7,1098.9,0,2430.9,3246.75,3496.5,799.2,249.75,0,166.5,632.7,0,516.15,0,1731.6,632.7,949.05,532.8,0,1515.15,1448.55,0,0,0,0,449.55,0,0,0,0
"Hawaii",29670.3,83.25,25158.15,5511.15,126256.95,3263.4,0,2530.8,2314.35,16933.05,2730.6,16766.55,499.5,749.25,41741.55,0,2514.15,199.8,0,0,0,0,349.65,0,982.35,0,0,632.7,0,382.95,0,0,0,15850.8,0,0,0,0,0,0,815.85,0,0,0,1282.05,0,49.95,0,8757.9,0,12087.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Idaho",145987.2,1115.55,4029.3,3213.45,1332,7092.9,915.75,166.5,116.55,1498.5,3429.9,2997,3696.3,382.95,249.75,599.4,582.75,99.9,0,133.2,0,0,449.55,0,382.95,0,149.85,416.25,749.25,16.65,0,0,3862.8,0,0,0,16.65,449.55,133.2,0,0,0,0,0,0,0,416.25,0,0,416.25,0,0,0,0,149.85,0,0,0,0,0,0,0,0,0,0
"Illinois",1608489.9,168431.4,91991.25,33732.9,73026.9,34815.15,62637.3,77755.5,33000.3,30969,11588.4,32201.1,58041.9,31618.35,14535.45,175923.9,6493.5,39410.55,0,0,4378.95,2664,9623.7,1065.6,1098.9,1165.5,21245.4,1248.75,19846.8,5461.2,3896.1,3363.3,33000.3,166.5,14252.4,6660,15168.15,0,749.25,299.7,3663,2680.65,10506.15,0,4212.45,0,0,33.3,0,2847.15,0,799.2,0,0,2064.6,299.7,0,0,10572.75,499.5,199.8,432.9,0,0,0
"Indiana",303512.85,35031.6,26073.9,13769.55,8524.8,72161.1,14418.9,11671.65,14119.2,4911.75,1631.7,12620.7,6243.75,1515.15,4295.7,4845.15,2597.4,1781.55,0,0,2314.35,0,3496.5,416.25,15517.8,0,432.9,815.85,516.15,1082.25,0,16100.55,4112.55,0,1948.05,0,749.25,0,832.5,399.6,316.35,0,1298.7,0,0,1132.2,0,0,0,0,0,782.55,199.8,0,682.65,1232.1,0,0,0,0,0,133.2,0,0,0
"Iowa",142790.4,10755.9,10073.25,4662,3979.35,10206.45,4878.45,8275.05,8741.25,8558.1,1065.6,1964.7,2214.45,1581.75,649.35,33.3,1648.35,2247.75,0,216.45,0,0,6327,0,5311.35,0,0,1232.1,699.3,915.75,0,3096.9,7042.95,0,0,999,482.85,2331,0,0,0,699.3,0,0,0,832.5,0,0,0,0,0,66.6,0,0,0,0,0,0,0,349.65,299.7,0,0,0,0
"Kansas",231185.25,9607.05,9873.45,1731.6,7375.95,12937.05,3879.45,4345.65,3846.15,9057.6,849.15,1398.6,1548.45,499.5,1648.35,616.05,832.5,0,865.8,199.8,1615.05,0,2930.4,0,1048.95,0,0,0,915.75,0,166.5,4778.55,532.8,0,0,0,0,66.6,0,0,0,99.9,0,0,0,183.15,0,999,0,0,0,0,399.6,832.5,0,0,0,0,0,0,0,0,0,0,0
"Kentucky",115817.4,10955.7,2014.65,6410.25,11704.95,9906.75,5128.2,7708.95,3113.55,4995,1232.1,5228.1,4895.1,732.6,999,199.8,249.75,432.9,0,0,0,1165.5,266.4,0,1748.25,549.45,0,932.4,0,1914.75,0,0,1132.2,0,249.75,6293.7,682.65,3180.15,99.9,183.15,0,0,149.85,0,0,0,0,133.2,0,0,0,0,432.9,0,0,982.35,0,0,2331,0,0,0,0,0,0
"Louisiana",159323.85,13986,6643.35,95221.3499999999,6776.55,7092.9,5944.05,6110.55,2264.4,26340.3,6959.7,3130.2,216.45,1914.75,1065.6,0,1165.5,666,0,0,1015.65,0,6793.2,0,1098.9,366.3,482.85,732.6,0,0,133.2,0,183.15,83.25,216.45,0,0,316.35,0,0,333,0,0,0,0,0,0,0,466.2,0,0,16.65,0,0,0,0,283.05,0,0,0,0,0,0,0,0
"Maine",10722.6,699.3,1182.15,25674.3,849.15,1864.8,0,1531.8,2514.15,3812.85,1232.1,349.65,449.55,216.45,299.7,0,0,83.25,0,0,0,0,499.5,0,266.4,116.55,0,516.15,0,0,0,0,0,0,0,582.75,0,1764.9,0,0,0,183.15,0,0,0,149.85,0,0,0,0,0,0,0,0,0,116.55,0,0,299.7,0,0,0,0,0,0
