"","Spanish","French","Chinese","German","Hindi and related","Filipino, Tagalog","Italian","Vietnamese","Russian","Korean","Polish","Arabic","Japanese","Portuguese","Dravidian","Sub-Saharan Africa","Greek","Other or not reported","Persian, Iranian, Farsi","Serbo-Croatian, Yugoslavian, Slavonian","Navajo","Hebrew, Israeli","Thai, Siamese, Lao","Yiddish, Jewish","Armenian","Dutch","Rumanian","Ukrainian, Ruthenian, Little Russian","Other East/Southeast Asian","Czech","Tibetan","Magyar, Hungarian","Amharic, Ethiopian, etc","Albanian","Swedish","Other Malayan","Turkish","Norwegian","Indonesian","Micronesian, Polynesian","Hamitic","Slovak","Finnish","Lithuanian","Near East Arabic dialect","Other Balto-Slavic","Celtic","Danish","Hawaiian","Siouan languages","Aleut, Eskimo","Algonquian","Iroquoian","African, n.s","Athapascan","Burmese, Lisu, Lolo","Keres","Muskogean","Other Persian dialects","Icelandic","English","N/A or blank"
"66",37242.24,9524.76,4155.48,1770.72,1285.2,0,3698.52,185.64,1228.08,299.88,0,2184.84,328.44,257.04,942.48,1670.76,299.88,0,371.28,1699.32,142.8,0,114.24,214.2,0,799.68,0,0,0,0,0,0,2627.52,285.6,328.44,0,0,371.28,442.68,0,0,0,0,0,0,371.28,0,0,0,0,0,0,371.28,0,0,0,0,0,0,0,0,0
"67",6126.12,885.36,485.52,728.28,0,985.32,671.16,1170.96,0,257.04,0,528.36,185.64,0,0,0,0,0,0,0,0,0,0,0,0,271.32,0,0,0,0,0,314.16,0,0,0,0,0,0,985.32,157.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"68",8982.12,1313.76,528.36,528.36,1956.36,0,1370.88,0,0,813.96,314.16,285.6,0,285.6,571.2,0,314.16,0,0,0,0,0,0,0,0,456.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"69",13466.04,2484.72,0,1570.8,71.4,385.56,571.2,142.8,0,242.76,985.32,1071,0,0,0,0,342.72,0,0,0,0,0,0,314.16,0,0,0,342.72,0,285.6,0,257.04,0,0,242.76,0,0,0,0,0,0,0,0,0,0,0,0,314.16,0,0,0,0,199.92,0,0,0,0,0,0,0,0,0
"70",14822.64,5526.36,528.36,3927,1013.88,956.76,3541.44,2941.68,1570.8,0,3655.68,357,1827.84,1813.56,1470.84,0,1970.64,1342.32,0,2856,0,1042.44,1984.92,0,1099.56,242.76,0,214.2,0,771.12,0,157.08,0,342.72,0,0,0,0,0,0,0,0,642.6,1056.72,0,0,0,314.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"71",68629.68,2484.72,3355.8,2684.64,2856,1328.04,1699.32,456.96,656.88,956.76,885.36,699.72,428.4,1513.68,0,1199.52,171.36,0,0,913.92,0,357,314.16,0,0,799.68,0,0,0,0,0,856.8,0,0,0,0,385.56,0,0,0,0,0,0,0,0,0,342.72,456.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72",10138.8,756.84,485.52,1170.96,1270.92,0,242.76,0,0,956.76,642.6,0,0,456.96,0,0,271.32,0,0,628.32,0,0,0,385.56,0,314.16,0,0,0,385.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"73",4655.28,771.12,0,1613.64,357,0,556.92,385.56,799.68,0,199.92,185.64,0,0,0,0,128.52,0,0,0,0,185.64,0,0,0,342.72,285.6,0,0,585.48,0,0,0,0,0,0,314.16,0,0,0,0,0,0,485.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"74",21177.24,2399.04,0,4026.96,0,571.2,671.16,0,0,556.92,342.72,0,0,242.76,0,242.76,485.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,571.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"75",496301.399999997,50394.12,1242.36,6683.04,4612.44,5140.8,10138.8,271.32,2598.96,799.68,1685.04,2142,1770.72,7639.8,871.08,357,1656.48,899.64,0,242.76,0,3070.2,1185.24,2684.64,0,0,0,0,0,414.12,0,1442.28,0,0,1385.16,0,1185.24,285.6,0,0,0,0,0,0,0,0,414.12,813.96,742.56,0,0,0,0,0,0,0,0,0,0,0,0,0
"76",60475.8000000001,18035.64,2827.44,4284,3084.48,0,7068.6,571.2,1670.76,385.56,242.76,3227.28,0,4069.8,671.16,171.36,214.2,199.92,328.44,0,0,385.56,0,4255.44,1285.2,428.4,0,0,0,385.56,0,799.68,0,0,271.32,0,0,0,0,0,0,0,2327.64,271.32,0,456.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"77",5097.96,1028.16,1513.68,1656.48,0,0,314.16,0,556.92,0,599.76,0,71.4,1270.92,0,342.72,171.36,0,0,0,0,0,285.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78",49765.8,6511.68,599.76,7311.36,2727.48,4141.2,3484.32,0,3898.44,242.76,642.6,4169.76,1071,0,0,813.96,385.56,542.64,1899.24,1228.08,42.84,885.36,1242.36,214.2,285.6,571.2,0,342.72,314.16,799.68,0,1199.52,0,671.16,0,0,0,0,0,0,0,0,257.04,0,0,314.16,556.92,0,0,0,0,185.64,257.04,0,0,0,0,0,0,0,0,0
"79",125121.36,33058.2,2598.96,4426.8,5140.8,3555.72,8225.28,1328.04,956.76,1570.8,2513.28,1613.64,456.96,12095.16,1185.24,0,0,0,0,442.68,0,3227.28,1270.92,2898.84,171.36,899.64,3141.6,314.16,0,942.48,0,642.6,0,0,628.32,0,214.2,0,0,0,0,242.76,0,314.16,0,556.92,0,0,0,0,0,0,0,456.96,0,0,0,0,0,0,0,0
"80",4483.92,385.56,0,285.6,456.96,0,456.96,0,0,0,0,342.72,0,528.36,0,0,0,0,0,314.16,0,242.76,0,0,0,0,0,0,0,0,0,285.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"81",7739.76,599.76,0,1013.88,285.6,214.2,385.56,314.16,0,314.16,1156.68,0,0,1228.08,0,0,1556.52,385.56,0,0,0,0,0,114.24,0,414.12,0,0,0,0,0,314.16,0,0,0,0,0,0,0,0,0,342.72,1156.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"82",6183.24,1727.88,614.04,1470.84,0,0,571.2,0,0,0,214.2,0,0,0,0,0,0,0,642.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"83",2070.6,1542.24,0,271.32,0,656.88,271.32,0,0,214.2,285.6,0,0,0,0,0,0,0,0,0,0,0,0,271.32,528.36,0,0,1656.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,485.52,0,0,0,0,0,0,0,0,0
"84",38041.92,1527.96,728.28,3027.36,3370.08,485.52,357,0,1085.28,0,671.16,1142.4,142.8,3655.68,0,0,0,199.92,314.16,328.44,0,528.36,514.08,0,0,0,0,0,0,2670.36,0,0,0,0,342.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85",79025.52,19792.08,399.84,2284.8,1785,1827.84,3055.92,1185.24,985.32,0,1899.24,1642.2,0,4783.8,485.52,0,771.12,0,0,0,728.28,0,328.44,0,0,699.72,0,0,0,0,485.52,142.8,0,0,0,0,257.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"86",16793.28,3398.64,0,0,285.6,0,314.16,771.12,242.76,357,214.2,0,1856.4,0,913.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"87",556.92,399.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"88",67473,3884.16,785.4,3798.48,556.92,1370.88,442.68,3255.84,913.92,2184.84,599.76,2356.2,1842.12,0,242.76,342.72,471.24,0,0,157.08,0,199.92,271.32,0,0,357,0,0,0,0,0,0,271.32,199.92,0,0,0,0,0,0,0,0,0,357,0,0,314.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"89",1013.88,0,0,0,0,0,0,0,0,0,0,0,0,242.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90",4755.24,528.36,0,114.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"91",8553.72,0,0,42.84,0,742.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"92",2284.8,199.92,0,599.76,0,314.16,0,0,0,0,0,514.08,342.72,0,0,0,0,0,0,0,271.32,0,0,0,0,0,0,0,0,0,0,585.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"93",1942.08,1499.4,499.8,1656.48,0,0,0,0,0,0,0,0,0,0,0,357,0,0,0,0,0,0,0,0,0,399.84,0,0,0,471.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"94",10053.12,1142.4,0,314.16,0,0,199.92,0,0,0,0,0,471.24,0,556.92,1899.24,0,0,0,0,0,0,871.08,0,0,0,0,0,628.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"95",58433.76,12095.16,5040.84,4783.8,7925.4,171.36,1099.56,3470.04,899.64,7782.6,0,1642.2,499.8,1185.24,3598.56,4583.88,0,2170.56,0,628.32,0,971.04,471.24,628.32,0,471.24,671.16,0,0,0,0,0,1399.44,0,0,0,5840.52,0,0,0,3184.44,0,0,0,0,0,0,0,0,0,0,0,0,985.32,0,0,0,0,0,0,0,0
"96",78397.2,12109.44,6911.52,5155.08,7425.6,2413.32,1527.96,2127.72,1827.84,8282.4,0,2356.2,399.84,1413.72,971.04,6340.32,1071,628.32,3084.48,3427.2,456.96,1213.8,0,0,0,1570.8,542.64,0,242.76,1170.96,0,671.16,0,0,0,0,357,0,0,0,157.08,0,0,1542.24,0,0,342.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
